IID,Coefficient,StandardError
A_02_01,-0.04457995654156447,0.0864433410659627
A_03_01,0.12216305053015362,0.11364503838520056
A_24_02,0.059817600520596786,0.10612044820614393
A_11_01,0.13970202524377456,0.13233627174610144
A_01_01,0.1966788575759038,0.11474140304278717
A_02_06,-0.679002920286035,0.3615798471979143
A_25_01,-0.12059157725464187,0.26686398139055734
A_02_07,-0.2540063102286877,0.3701437699156636
A_33_03,0.09885647214319154,0.25369731177722954
A_23_01,-0.07923656967244942,0.21519150443176288
A_31_01,-0.06370276864437807,0.20772318294447825
A_26_01,-0.1814873437867047,0.19522689694797277
A_02_11,0.4068029009498239,0.8675692948268598
A_30_01,-0.12059157725464174,0.2668639813905573
A_02_05,-0.238694841057442,0.33715874328557127
A_29_02,-0.3396158956575483,0.24881458407487883
A_68_02,-0.10219675758811249,0.37447455073511143
A_30_02,-0.2144938097347265,0.36021017524894283
A_32_01,-1.0031476414070661e-17,0.24374661280253868
A_29_01,-0.5135065905192495,0.7763241417527292
A_02_02,-0.10603143148305964,0.6603154902828937
A_11_02,0.6951531992868114,0.914335478986711
A_24_03,1.0999474023510787,1.4151576305923086
