IID,A.1,A.2,A.prob,B.1,B.2,B.prob,C.1,C.2,C.prob,DPB1.1,DPB1.2,DPB1.prob,DQA1.1,DQA1.2,DQA1.prob,DQB1.1,DQB1.2,DQB1.prob,DRB1.1,DRB1.2,DRB1.prob,DPA1.1,DPA1.2,DPA1.prob,DRB3.1,DRB3.2,DRB3.prob,DRB4.1,DRB4.2,DRB4.prob,DRB5.1,DRB5.2,DRB5.prob,ArrayID
HLA_309,01:01,11:01,0.691165878032652,07:02,35:03,0.874618596943211,07:02,12:03,0.965182295622711,04:01,15:01,0.920992927520252,03:03,03:03,0.912044929887963,03:01,03:01,0.719834662103819,04:01,04:01,0.344896634414545,01:03,01:03,0.537727688519373,00:00,00:00,0.964153705136839,01:03,01:03,0.941604638360904,00:00,00:00,0.938792728755528,3
HLA_310,01:01,03:01,0.966035736778882,07:02,08:01,0.984119457562444,07:01,07:02,0.982041068935955,02:01,04:01,0.924950002943097,01:02,05:01,0.925407685115604,02:01,06:02,0.956838481741544,03:01,15:01,0.952861593674221,01:03,01:03,0.960613955247389,00:00,01:01,0.941531623966077,00:00,00:00,0.962942403820819,00:00,01:01,0.913456395205852,3
HLA_311,02:01,31:01,0.950713941663611,15:01,35:01,0.427036451041071,03:03,03:03,0.871555368534373,04:01,05:01,0.802100085755821,01:02,05:05,0.955382725770606,03:01,06:02,0.964020534310806,11:01,15:01,0.710717573452138,01:03,02:02,0.581458303582186,00:00,02:02,0.743721825740719,00:00,00:00,0.879924162082861,00:00,01:01,0.487674886914367,4
HLA_312,24:02,68:01,0.932281467716901,07:02,40:01,0.964720726893394,03:04,07:02,0.912044378203841,04:02,11:01,0.962473918618096,01:02,05:01,0.274319247607274,02:01,02:02,0.898502802899519,03:01,07:01,0.877631193435048,01:03,02:01,0.920842254760018,00:00,01:01,0.921612577339108,00:00,01:03,0.496786466993499,00:00,00:00,0.943372252805305,3
HLA_313,11:01,11:01,0.702301894601322,15:02,35:01,0.342865861467515,03:04,08:01,0.227671680180347,04:01,05:01,0.424183028776343,01:02,06:01,0.942117235478325,03:01,06:02,0.912593538040488,12:02,15:01,0.971113500089785,02:02,02:02,0.287036336662942,00:00,03:01,0.199946378833526,00:00,00:00,0.740099344748316,00:00,00:00,0.456941431815385,2
HLA_314,02:01,03:01,0.917699609055686,14:02,27:05,0.99908897478484,01:02,08:02,0.998535215501133,04:01,17:01e1,0.911322838750192,01:01,01:03,0.988034133301588,05:01,06:01,0.999173417216749,01:02,15:02,0.999777882263623,01:03,02:01,0.957677896030629,00:00,00:00,0.493916567693943,00:00,00:00,0.692985669099285,00:00,01:02e1,0.626313672993006,4
HLA_315,02:01,02:01,0.860712089104835,15:01,40:02,0.568418038827399,03:04,03:04,0.554840796363289,02:01,04:02,0.677870026465274,03:01,03:01,0.831152571475771,03:02,03:02,0.989161899082676,04:01,04:07,0.33244942299281,01:03,01:03,0.949205672696943,00:00,00:00,0.909491563286068,01:03,01:03,0.901144787210145,00:00,00:00,0.968586111450884,2
HLA_316,01:01,29:02,0.997644287338954,14:02,35:02,0.737390338554048,04:01,08:02,0.989881440036467,04:01,15:01,0.791974965878345,02:01,05:05,0.946135613078845,02:02,03:01,0.980761919911822,07:01,11:04,0.527127817190449,01:03,01:04i2,0.789932442986863,00:00,02:02,0.908755592926172,00:00,01:01,0.536406346298805,00:00,00:00,0.972796837104113,4
HLA_317,01:01,02:01,0.990627320051546,08:01,15:01,0.973436044246197,04:01,07:01,0.999999984033503,01:01,04:01,0.934676314977795,01:01,05:01,0.998069028371163,02:01,05:01,0.999999992545525,01:01,03:01,0.990967903458855,01:03,02:02,0.89505573520315,00:00,01:01,0.461358466427524,00:00,00:00,0.741021036571289,00:00,00:00,0.828176667453117,4
HLA_318,02:01,02:06,0.739839341793007,35:01,51:01,0.974420788377596,03:03,14:02,0.948086749157831,02:01,02:01,0.758953154852361,01:02,05:03,0.81185291716722,03:01,06:02,0.939415236801142,14:03,15:01,0.638533846809419,01:03,01:03,0.967282499381361,00:00,01:01,0.4836822829373,00:00,00:00,0.848765765338395,00:00,01:01,0.449436823850677,4
HLA_319,01:01,24:02,0.962367601733544,13:02,18:01,0.88098353886134,06:02,07:01,0.99996845424637,04:02,05:01,0.822139433661533,02:01,05:05,0.424956785385435,02:02,03:01,0.409103998882684,07:01,11:04,0.687389267509799,01:03,02:02,0.53219573915533,00:00,02:02,0.892241826314239,00:00,01:03,0.87755575741843,00:00,00:00,0.976762216507344,4
HLA_320,02:06,26:01,0.378431251476874,35:01,39:01,0.206154560111813,07:02,07:02,0.918139520539282,02:01,02:01,0.47702485624864,01:02,01:02,0.996850213233204,06:02,06:02,0.962836649564931,15:01,15:01,0.997377109762173,01:03,02:02,0.628302402383801,00:00,00:00,0.685779098529756,00:00,00:00,0.864508342262472,01:01,01:01,0.444200914739196,4
HLA_321,24:02,24:02,0.884093896699005,15:01,40:06,0.397207754285182,01:02,08:01,0.866719668652272,02:01,02:01,0.710506383223615,01:03,03:02,0.74986194651723,03:03,06:01,0.97821843072246,08:03,09:01,0.973681942700525,01:03,01:03,0.970266445829704,00:00,02:02,0.283452979620135,00:00,01:03,0.682915275196705,00:00,00:00,0.890562792585697,4
HLA_322,02:01,30:01,0.973901944031362,15:01,49:01,0.897997168366323,01:02,07:01,0.9912093262323,03:01,04:01,0.729021223070018,01:02,01:02,0.998671702007701,06:02,06:02,0.969185414444221,15:01,15:01,0.996556422694549,01:03,01:03,0.971582834643138,00:00,00:00,0.928559531130396,00:00,00:00,0.937601322129537,01:01,01:01,0.927970860849075,4
