Allele,Control,ControlFrequency,Case,CaseFrequency,Pvalue,OddsRatio
04:06,5,0.00125,9,0.00225,0.3587521088225851,0.5987963891675026
15:01,208,0.052,563,0.14075,0.16496402120969667,0.8796597329629746
03:01,98,0.0245,255,0.06375,0.2212559022225825,0.8550239768038362
04:01,55,0.01375,183,0.04575,0.53704756739048,1.1161777519604996
09:01,31,0.00775,76,0.019,0.3649682881117557,0.8124531132783196
04:04,30,0.0075,72,0.018,0.2981973182849547,0.7950819672131147
01:01,52,0.013,215,0.05375,0.03363673145292672,1.4074022925010359
07:01,114,0.0285,365,0.09125,0.5366185158047918,1.0765671293984487
10:01,14,0.0035,20,0.005,0.043964581546660886,0.4726749760306807
11:04,15,0.00375,52,0.013,0.6722035427188415,1.1582994120307553
14:06,2,0.0005,3,0.00075,0.6042943209119677,0.4994994994994995
08:02,9,0.00225,19,0.00475,0.3837316450949122,0.7018151999701815
01:02,11,0.00275,42,0.0105,0.5270414405472814,1.2765996680803984
15:03,6,0.0015,13,0.00325,0.5944921375168418,0.7210132797678831
08:04,7,0.00175,15,0.00375,0.46192952477389554,0.7128499641062455
11:01,76,0.019,228,0.057,1.0,1.0
16:01,14,0.0035,35,0.00875,0.618214991939131,0.8313659359190556
14:01,23,0.00575,73,0.01825,0.9051768455928861,1.0594168238736799
13:01,53,0.01325,152,0.038,0.8038159280410808,0.953625185499258
16:02,5,0.00125,10,0.0025,0.5488871463171907,0.6655518394648829
04:05,19,0.00475,58,0.0145,1.0,1.017889727718344
15:02,18,0.0045,44,0.011,0.46111068181756226,0.8120583370921666
01:03,3,0.00075,13,0.00325,0.7743492627925017,1.4463787523713871
04:07,9,0.00225,38,0.0095,0.40117352134465956,1.4126341060844774
13:03,14,0.0035,38,0.0095,0.7478939114038599,0.9035400790971352
13:02,41,0.01025,113,0.02825,0.6355799158811335,0.9155169937567058
12:02,7,0.00175,23,0.00575,1.0,1.0959738951005327
12:01,8,0.002,73,0.01825,0.0010187635837480699,3.092586265801162
08:03,6,0.0015,28,0.007,0.4266114475136646,1.5607895917451773
08:06,2,0.0005,1,0.00025,0.15617964646189844,0.1663887962654218
04:03,10,0.0025,20,0.005,0.29281147260448853,0.6644295302013423
08:01,9,0.00225,42,0.0105,0.2570930931843227,1.5634437683119224
04:02,10,0.0025,46,0.0115,0.2760079436614761,1.5416384563303995
13:12,1,0.00025,0,0.0,0.24999999999832218,0.0
03:02,3,0.00075,17,0.00425,0.43821504576889925,1.893954631802436
14:04,1,0.00025,3,0.00075,1.0,1.0
04:08,3,0.00075,1,0.00025,0.050693329342076585,0.11081471601644993
14:03,2,0.0005,3,0.00075,0.6042943209119677,0.4994994994994995
14:54,2,0.0005,12,0.003,0.5388657813228939,2.004016064257028
14:05,1,0.00025,2,0.0005,1.0,0.6664442961974649
